city,country,pub_location
"Chicago, IL",United States,"Chicago, IL, United States"
"Harlow, Essex",England,"Harlow, Essex, England"
"Harlow, Essex",England,"Harlow, Essex, England"
"Harlow, Essex",England,"Harlow, Essex, England"
"Harlow, Essex",England,"Harlow, Essex, England"
"Harlow, Essex",England,"Harlow, Essex, England"
"Harlow, Essex",England,"Harlow, Essex, England"
"Harlow, Essex",England,"Harlow, Essex, England"
"Harlow, Essex",England,"Harlow, Essex, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"New York, NY",United States,"New York, NY, United States"
"Vancouver, BC",Canada,"Vancouver, BC, Canada"
London,England,"London, England"
"Harlow, Essex",England,"Harlow, Essex, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Alexandria, VA",United States,"Alexandria, VA, United States"
"Washington, D.C.",United States,"Washington, D.C., United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"Chicago, IL",United States,"Chicago, IL, United States"
"Harlow, Essex",England,"Harlow, Essex, England"
"Leeds, NYK",England,"Leeds, NYK, England"
"Baltimore, MD",United States,"Baltimore, MD, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"Paris, IDF",France,"Paris, IDF, France"
"Bornheim, NW",Germany,"Bornheim, NW, Germany"
"Paris, IDF",France,"Paris, IDF, France"
"Paris, IDF",France,"Paris, IDF, France"
"Harlow, Essex",England,"Harlow, Essex, England"
"Paris, IDF",France,"Paris, IDF, France"
"Paris, IDF",France,"Paris, IDF, France"
"Sassari, SAR",Italy,"Sassari, SAR, Italy"
"Tokyo, Kantō",Japan,"Tokyo, Kantō, Japan"
"Tokyo, Kantō",Japan,"Tokyo, Kantō, Japan"
London,England,"London, England"
London,England,"London, England"
Budapest,Hungary,"Budapest, Hungary"
London,England,"London, England"
"Lake County, IL",United States,"Lake County, IL, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
NSH,United States,"NSH, United States"
Cambridge,England,"Cambridge, England"
"Kirklees, YSW",England,"Kirklees, YSW, England"
"Liverpool, MSY",England,"Liverpool, MSY, England"
"Kirklees, YSW",England,"Kirklees, YSW, England"
"Kirklees, YSW",England,"Kirklees, YSW, England"
"Kirklees, YSW",England,"Kirklees, YSW, England"
"Kirklees, YSW",England,"Kirklees, YSW, England"
"Leeds, NYK",England,"Leeds, NYK, England"
"Kirklees, YSW",England,"Kirklees, YSW, England"
"Kirklees, YSW",England,"Kirklees, YSW, England"
"Kirklees, YSW",England,"Kirklees, YSW, England"
"Kirklees, YSW",England,"Kirklees, YSW, England"
London,England,"London, England"
"Bloomington, IN",United States,"Bloomington, IN, United States"
"Kirklees, YSW",England,"Kirklees, YSW, England"
"Paris, IDF",France,"Paris, IDF, France"
"Coconut Creek, FL",United States,"Coconut Creek, FL, United States"
Havana,Cuba,"Havana, Cuba"
London,England,"London, England"
London,England,"London, England"
,Trinidad & Tobago,", Trinidad and Tobago"
"Montréal, QC",Canada,"Montréal, QC, Canada"
"Paris, IDF",France,"Paris, IDF, France"
"Gainesville, FL",United States,"Gainesville, FL, United States"
"St. Augustine, TT-TUP",Trinidad & Tobago,"St. Augustine, TT-TUP, Trinidad and Tobago"
London,England,"London, England"
"Leeds, NYK",England,"Leeds, NYK, England"
"Port of Spain, SJL",Trinidad & Tobago,"Port of Spain, SJL, Trinidad and Tobago"
London,England,"London, England"
"Lanham, MD",United States,"Lanham, MD, United States"
Madrid,Spain,"Madrid, Spain"
London,England,"London, England"
"Vancouver, BC",Canada,"Vancouver, BC, Canada"
"Toronto, ON",Canada,"Toronto, ON, Canada"
London,England,"London, England"
"Madrid, SF",United States,"Madrid, SF, United States"
"Madrid, SF",United States,"Madrid, SF, United States"
Barcelona,Spain,"Barcelona, Spain"
"Madrid, SF",United States,"Madrid, SF, United States"
"Madrid, SF",United States,"Madrid, SF, United States"
Madrid,Spain,"Madrid, Spain"
"Valencia, V",Spain,"Valencia, V, Spain"
Madrid,Spain,"Madrid, Spain"
"New York, NY",United States,"New York, NY, United States"
"Detroit, MICH",United States,"Detroit, MICH, United States"
"Detroit, MICH",United States,"Detroit, MICH, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Oxford, Oxon",England,"Oxford, Oxon, England"
"Oxford, Oxon",England,"Oxford, Oxon, England"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
Port-au-Prince,Haiti,"Port-au-Prince, Haiti"
"Paris, IDF",England,"Paris, IDF, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
"Pittsburgh, PA",United States,"Pittsburgh, PA, United States"
London,England,"London, England"
,,","
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
,,","
"New York, NY,",United States,"New York, NY, , United States"
"Chicago, IL",United States,"Chicago, IL, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Old Westbury, N.Y",United States,"Old Westbury, N.Y, United States"
"Columbia, MO",United States,"Columbia, MO, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
"Eastford, CT",United States,"Eastford, CT, United States"
"Chicago, IL",United States,"Chicago, IL, United States"
"Mineola, N.Y",United States,"Mineola, N.Y, United States"
"Victoria, BC",Canada,"Victoria, BC, Canada"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"San Francisco, CA",United States,"San Francisco, CA, United States"
"Hoboken, NJ",United States,"Hoboken, NJ, United States"
,,","
"Fontabelle, BB-08",Barbados,"Fontabelle, BB-08, Barbados"
Havana,Cuba,"Havana, Cuba"
Havana,Cuba,"Havana, Cuba"
"Winston-Salem, NC",United States,"Winston-Salem, NC, United States"
"New York, NY",United States,"New York, NY, United States"
"New Haven, LDN",England,"New Haven, LDN, England"
Madrid,Spain,"Madrid, Spain"
Petit-Bourg,Guadeloupe,"Petit-Bourg, Guadeloupe"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
"Berkeley, CA",United States,"Berkeley, CA, United States"
Rome,Italy,"Rome, Italy"
Paris,France,"Paris, France"
Madrid,Spain,"Madrid, Spain"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"Chatham, NJ",United States,"Chatham, NJ, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Chatham, NJ",United States,"Chatham, NJ, United States"
Auckland,New Zealand,"Auckland, New Zealand"
"New York, NY",United States,"New York, NY, United States"
Castries,St. Lucia,"Castries, St. Lucia"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"Berkeley, CA",United States,"Berkeley, CA, United States"
"New York, NY",United States,"New York, NY, United States"
Castries,St. Lucia,"Castries, St. Lucia"
London,England,"London, England"
Castries,St. Lucia,"Castries, St. Lucia"
"New York, NY",United States,"New York, NY, United States"
"San Diego, CA",United States,"San Diego, CA, United States"
"Chatham, NJ",United States,"Chatham, NJ, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Boston, MA",United States,"Boston, MA, United States"
Milan,Italy,"Milan, Italy"
Milan,Italy,"Milan, Italy"
Moskva,Russia,"Moskva, Russia"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
London,England,"London, England"
London,England,"London, England"
Paris,France,"Paris, France"
"New Brunswick, NJ",United States,"New Brunswick, NJ, United States"
"Berkeley, CA",United States,"Berkeley, CA, United States"
Rome,Italy,"Rome, Italy"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Leeds,England,"Leeds, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Nendeln,Liechtenstein,"Nendeln, Liechtenstein"
"New York, NY",United States,"New York, NY, United States"
Montréal,Canada,"Montréal, Canada"
Nassau,Bahamas,"Nassau, Bahamas"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
Mona,Jamaica,"Mona, Jamaica"
Leeds,England,"Leeds, England"
Manchester,England,"Manchester, England"
"New York, NY",United States,"New York, NY, United States"
Edinburgh,Scotland,"Edinburgh, Scotland"
"New York, NY",United States,"New York, NY, United States"
"Minneapolis, MN",United States,"Minneapolis, MN, United States"
Quezon City,Philippines,"Quezon City, Philippines"
Manchester,England,"Manchester, England"
Edinburgh,Scotland,"Edinburgh, Scotland"
Kingston,Jamaica,"Kingston, Jamaica"
"Concord, MA",United States,"Concord, MA, United States"
Petit-Bourg,Guadeloupe,"Petit-Bourg, Guadeloupe"
"Garden City, NY",United States,"Garden City, NY, United States"
London,England,"London, England"
Nassau,Bahamas,"Nassau, Bahamas"
"Bath, SOM",England,"Bath, SOM, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Leeds,England,"Leeds, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Harlow,England,"Harlow, England"
"Garden City, NY",United States,"Garden City, NY, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Munich,Germany,"Munich, Germany"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
Leeds,England,"Leeds, England"
Matoury,French Guiana,"Matoury, French Guiana"
Petit-Bourg,Guadeloupe,"Petit-Bourg, Guadeloupe"
Matoury,French Guiana,"Matoury, French Guiana"
Port of Spain,Trinidad & Tobago,"Port of Spain, Trinidad & Tobago"
London,England,"London, England"
London,England,"London, England"
"Philadelphia, PA",United States,"Philadelphia, PA, United States"
"Tempe, AZ",United States,"Tempe, AZ, United States"
"Toronto, ONT",Canada,"Toronto, ONT, Canada"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"Brooklyn, NY",United States,"Brooklyn, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"San Diego, CA",United States,"San Diego, CA, United States"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
"Aylesbury, Bucks",England,"Aylesbury, Bucks, England"
"Aylesbury, Bucks",England,"Aylesbury, Bucks, England"
"Aylesbury, Bucks",England,"Aylesbury, Bucks, England"
"Aylesbury, Bucks",England,"Aylesbury, Bucks, England"
"Aylesbury, Bucks",England,"Aylesbury, Bucks, England"
"Aylesbury, Bucks",England,"Aylesbury, Bucks, England"
"Aylesbury, Bucks",England,"Aylesbury, Bucks, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Aylesbury, Bucks",England,"Aylesbury, Bucks, England"
Harlow,England,"Harlow, England"
"Aylesbury, Bucks",England,"Aylesbury, Bucks, England"
Oxford,England,"Oxford, England"
Oxford,England,"Oxford, England"
"San Francisco, CA",United States,"San Francisco, CA, United States"
Ciego de Ávila,Cuba,"Ciego de Ávila, Cuba"
NA,Barbados,"NA, Barbados"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
NA,NA,"NA, NA"
Mona,Jamaica,"Mona, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Kingston,Jamaica,"Kingston, Jamaica"
Mona,Jamaica,"Mona, Jamaica"
Mona,Jamaica,"Mona, Jamaica"
"Toronto, ONT",Canada,"Toronto, ONT, Canada"
"Toronto, ONT",Canada,"Toronto, ONT, Canada"
"Toronto, ONT",Canada,"Toronto, ONT, Canada"
"Toronto, ONT",Canada,"Toronto, ONT, Canada"
Kingston,Jamaica,"Kingston, Jamaica"
La Habana,Cuba,"La Habana, Cuba"
Port-of-Spain,Trinidad & Tobago,"Port-of-Spain, Trinidad & Tobago"
Port-of-Spain,Trinidad & Tobago,"Port-of-Spain, Trinidad & Tobago"
Port-of-Spain,Trinidad & Tobago,"Port-of-Spain, Trinidad & Tobago"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"Markham, ONT",Canada,"Markham, ONT, Canada"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"Franklin Center, PA",United States,"Franklin Center, PA, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
Budapest,Hungary,"Budapest, Hungary"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
London,England,"London, England"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Hamburg,Germany,"Hamburg, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Köln,Germany,"Köln, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Köln,Germany,"Köln, Germany"
Köln,Germany,"Köln, Germany"
Tel Aviv,Israel,"Tel Aviv, Israel"
Tel-Aviv,Israel,"Tel-Aviv, Israel"
Tel Aviv,Israel,"Tel Aviv, Israel"
Milano,Italy,"Milano, Italy"
Milano,Italy,"Milano, Italy"
Milano,Italy,"Milano, Italy"
Seoul,South Korea,"Seoul, South Korea"
Seoul,South Korea,"Seoul, South Korea"
Oslo,Norway,"Oslo, Norway"
Oslo,Norway,"Oslo, Norway"
Oslo,Norway,"Oslo, Norway"
Oslo,Norway,"Oslo, Norway"
Oslo,Norway,"Oslo, Norway"
Tehran,Iran,"Tehran, Iran"
Warszawa,Poland,"Warszawa, Poland"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
Barcelona,Spain,"Barcelona, Spain"
NA,Mexico,"NA, Mexico"
Stockholm,Sweden,"Stockholm, Sweeden"
Praha,Czech Republic,"Praha, Czech Republic"
Kyoto,Japan,"Kyoto, Japan"
Stockholm,Sweden,"Stockholm, Sweeden"
"Helsingissä, Hki",Finland,"Helsingissä, Hki, Finland"
Tel Aviv,Israel,"Tel Aviv, Israel"
Berlin,Germany,"Berlin, Germany"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
Paris,France,"Paris, France"
"Helsingissä, Hki",Finland,"Helsingissä, Hki, Finland"
Tōkyō,Japan,"Tōkyō, Japan"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
Stockholm,Sweden,"Stockholm, Sweeden"
London,England,"London, England"
"Helsingissä, Hki",Finland,"Helsingissä, Hki, Finland"
"Helsingissä, Hki",Finland,"Helsingissä, Hki, Finland"
Shīrāz,Iran,"Shīrāz, Iran"
"Helsingissä, Hki",Finland,"Helsingissä, Hki, Finland"
Paris,France,"Paris, France"
"New York, NY",United States,"New York, NY, United States"
Köln,Germany,"Köln, Germany"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
Hamburg,Germany,"Hamburg, Germany"
Köln,Germany,"Köln, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
Frankfurt,Germany,"Frankfurt, Germany"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
Frankfurt,Germany,"Frankfurt, Germany"
Hamburg,Germany,"Hamburg, Germany"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
Köln,Germany,"Köln, Germany"
Barcelona,Spain,"Barcelona, Spain"
Köln,Germany,"Köln, Germany"
Tallinn,Estonia,"Tallinn, Estonia"
Stockholm,Sweden,"Stockholm, Sweeden"
Stockholm,Sweden,"Stockholm, Sweeden"
Stockholm,Sweden,"Stockholm, Sweeden"
Höganäs,Höganäs,"Höganäs, Höganäs"
Istanbul,Turkey,"Istanbul, Turkey"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Gornji Milanovac,Serbia,"Gornji Milanovac, Serbia"
Paris,France,"Paris, France"
Stockholm,Sweden,"Stockholm, Sweeden"
Paris,France,"Paris, France"
Paris,France,"Paris, France"
Moskva,Russia,"Moskva, Russia"
Praha,Czech Republic,"Praha, Czech Republic"
Copenhagen,Denmark,"Copenhagen, Denmark"
"Cheyenne, WY",United States,"Cheyenne, WY, United States"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
Amsterdam,Netherlands,"Amsterdam, Netherlands"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
London,England,"London, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
Dijon,France,"Dijon, France"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
London,England,"London, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
London,England,"London, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"New York, NY",United States,"New York, NY, United States"
Cambridge,England,"Cambridge, England"
London,England,"London, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
Barcelona,Spain,"Barcelona, Spain"
London,England,"London, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
Paris,France,"Paris, France"
"Sãu Paulo, SP",Brazil,"Sãu Paulo, SP, Brazil"
London,England,"London, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
Milano,Italy,"Milano, Italy"
Milano,Italy,"Milano, Italy"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
Beograd,Serbia,"Beograd, Serbia"
Barcelona,Spain,"Barcelona, Spain"
Paris,France,"Paris, France"
Milano,Italy,"Milano, Italy"
Milano,Italy,"Milano, Italy"
"Harmondsworth, LDN",England,"Harmondsworth, LDN, England"
,,","
Harmondsworth,,"Harmondsworth,"
Paris,,"Paris,"
Paris,,"Paris,"
Mexico,,"Mexico,"
Paris,,"Paris,"
Paris,,"Paris,"
Milano,,"Milano,"
Harlow,,"Harlow,"
Leeds,,"Leeds,"
"London ; Roseau, Dominica",,"London ; Roseau, Dominica,"
,,","
Paris,,"Paris,"
,French Guiana,", Guyane"
,,","
"Trenton, N.J.; Edmonton, Alta., Canada",,"Trenton, N.J.; Edmonton, Alta., Canada,"
London,,"London,"
Antigua,,"Antigua,"
St. John's? Antigua; London,,"St. John's? Antigua; London,"
London,,"London,"
,,","
,,","
Madrid,,"Madrid,"
"La Habana, Cuba",,"La Habana, Cuba,"
Madrid,,"Madrid,"
,,","
S.I.,,"S.I.,"
"Emeryville, CA; [Berkeley, Calif.",,"Emeryville, CA; [Berkeley, Calif.,"
,,","
"Port of Spain, Trinidad",,"Port of Spain, Trinidad,"
Paris,,"Paris,"
Paris,,"Paris,"
London,,"London,"
,,","
,,","
,,","
,,","
,,","
,,","
La Habana,,"La Habana,"
Ciudad de La Habana,,"Ciudad de La Habana,"
Barcelona,,"Barcelona,"
,,","
"London; Portsmouth, N.H., USA",,"London; Portsmouth, N.H., USA,"
Caracas,,"Caracas,"
,,","
,,","
,,","
,,","
Barcelona,,"Barcelona,"
Milano,,"Milano,"
Barcelona,,"Barcelona,"
México,,"México,"
México,,"México,"
Barcelona,,"Barcelona,"
Barcelona,,"Barcelona,"
México,,"México,"
La Habana,,"La Habana,"
Barcelona,,"Barcelona,"
"México, D.F.",,"México, D.F.,"
"San Juan, Puerto Rico",,"San Juan, Puerto Rico,"
Zürich,,"Zürich,"
Paris,,"Paris,"
Paris,,"Paris,"
Paris,,"Paris,"
Milano,,"Milano,"
Milano,,"Milano,"
Paris,,"Paris,"
Paris,,"Paris,"
"Ciudad de La Habana, Cuba",,"Ciudad de La Habana, Cuba,"
Santo Domingo,,"Santo Domingo,"
,,","
London,,"London,"
,,","
London,,"London,"
,,","
,,","
London,,"London,"
,,","
,,","
Place of publication not identified,,"Place of publication not identified,"
"New York, NY",United States,"New York, NY, United States"
,,","
"New York, NY",United States,"New York, NY, United States"
,,","
"New York, NY",United States,"New York, NY, United States"
,,","
London,,"London,"
Paris,,"Paris,"
Paris,,"Paris,"
Paris,,"Paris,"
Zürich,,"Zürich,"
,,","
,,","
Zürich,,"Zürich,"
,,","
Zürich,,"Zürich,"
,,","
Zürich,,"Zürich,"
,,","
Milano,,"Milano,"
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
Barcelona,,"Barcelona,"
,,","
,,","
México,,"México,"
Ciudad de La Habana,,"Ciudad de La Habana,"
Barcelona,,"Barcelona,"
San Juan (Puerto Rico,,"San Juan (Puerto Rico,"
La Habana,,"La Habana,"
Bogotá,,"Bogotá,"
El Vedado (La Habana,,"El Vedado (La Habana,"
,,","
Barcelona,,"Barcelona,"
México,,"México,"
Ciudad de La Habana,,"Ciudad de La Habana,"
Ciudad de La Habana [Cuba,,"Ciudad de La Habana [Cuba,"
Barcelona,,"Barcelona,"
,,","
Barcelona,,"Barcelona,"
,,","
,,","
Barcelona,,"Barcelona,"
"San Juan, Puerto Rico",,"San Juan, Puerto Rico,"
,,","
,,","
Barcelona,,"Barcelona,"
,,","
,,","
,,","
,,","
,,","
,,","
,,","
,,","
Barcelona,,"Barcelona,"
,,","
Barcelona,,"Barcelona,"
,,","
Barcelona,,"Barcelona,"
,,","
,,","
,,","
Barcelona,,"Barcelona,"
,,","
,,","
Barcelona,,"Barcelona,"
London,,"London,"
Milano,,"Milano,"
London,,"London,"
Washington,,"Washington,"
,,","
Paris,,"Paris,"
,,","
,,","
,,","
,,","
,,","
"Alfragide, Portugal",,"Alfragide, Portugal,"
Kraków,,"Kraków,"
,,","
Kraków,,"Kraków,"
Paris,,"Paris,"
,,","
Zürich,Switszerland,"Zürich, Switszerland"
Zürich,Switszerland,"Zürich, Switszerland"
,,","
,,","
,,","
,,","
,,","
,,","
"San Juan, P.R.",,"San Juan, P.R.,"
,,","
"Indianapolis, Ind",United States,"Indianapolis, Ind, United States"
"Oxford, ENG",England,"Oxford, ENG, England"
"Kingston, JAM",Jamaica,"Kingston, JAM, Jamaica"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
London,England,"London, England"
"New York, NY",United States,"New York, NY, United States"
"Kingston, JAM",Jamaica,"Kingston, JAM, Jamaica"
"Kingston, JAM",Jamaica,"Kingston, JAM, Jamaica"
London,England,"London, England"
"Port of Spain, TT",Trinidad & Tobago,"Port of Spain, TT, Trinidad and Tobago"
"Port of Spain, TT",Trinidad & Tobago,"Port of Spain, TT, Trinidad and Tobago"
"New York, NY",United States,"New York, NY, United States"
